time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,en0,pdp_ip0,DeviceOrientation,Event
2013-11-12 15:12:09.203,61,6.1,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.07159424,-0.7892456,-0.6081696,11.66683,-29.78585,-25.23761,276.1653,275.8215,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:09.335,62,6.2,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.1238861,-0.8340302,-0.5975189,10.12503,-30.00499,-26.95433,280.4864,280.1427,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:09.445,63,6.3,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.2151642,-0.8790283,-0.5870514,9.904774,-30.22413,-28.3277,281.8547,281.511,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:09.531,64,6.4,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.1994324,-0.6981964,-0.5485229,8.693359,-31.42939,-28.55659,277.9202,277.5765,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:09.655,65,6.5,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.1702271,-0.8495636,-0.5791626,7.922461,-31.64852,-30.38776,280.922,280.5782,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:09.818,66,6.6,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.1201782,-0.8068695,-0.5021667,6.981686,-31.3152,-31.78988,283.7565,283.4128,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:10.081,67,6.7,52.16996,4.457714,0,1.018159,299.7195,9.373249,10,1384265406,-0.1944885,-0.9191437,-0.5459747,7.862638,-31.86299,-32.4764,283.1992,282.8555,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:10.223,68,6.8,52.16996,4.457705,0,0.9982522,308.911,9.32196,10,1384265407,-0.1305695,-0.722702,-0.5131378,7.036747,-31.26041,-31.73267,283.0865,282.7428,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:10.502,69,6.9,52.16996,4.457705,0,0.9982522,308.911,9.32196,10,1384265407,-0.1152802,-0.7997284,-0.5683746,6.155794,-30.60306,-30.70289,282.941,282.5973,25,0.0.0.0,10.139.171.151,1,0
2013-11-12 15:12:10.799,70,7,52.16996,4.457705,0,0.9982522,308.911,9.32196,10,1384265407,-0.1292877,-0.7290344,-0.5588837,6.431091,-30.98652,-31.67547,282.993,282.6493,25,0.0.0.0,10.139.171.151,1,0
